S2G ID,Fecha,energy_main(kWh),Ventas,Invitados,intensidad_kWh_invitado,ticket_promedio_MXN_invitado,Nombre,Zona_CMR
CH01,31/07/2019,264.4536,62353.52,262,1.009364885,237.9905,Aguascalientes I,AGS
CH02,31/07/2019,196.5218,33747.37,163,1.205655215,207.0391,Aguascalientes II,AGS
CH03,31/07/2019,436.6071,77364.75,304,1.436207566,254.4893,Apodaca,MTY
CH04,31/07/2019,294.3524,48391.71,217,1.356462673,223.0033,Centro Magno,GDL
CH05,31/07/2019,321.3934,43677.02,172,1.868566279,253.9362,Chihuahua I,CHI
CH06,31/07/2019,188.2428,37218.71,137,1.374035036,271.6694,Chihuahua II,CHI
CH07,31/07/2019,317.8003,80268.51,343,0.926531487,234.019,Churubusco,MTY
CH08,31/07/2019,325.891,36314.74,167,1.951443114,217.4535,Cintermex,MTY
CH09,31/07/2019,250.9317,20588.14,99,2.534663636,207.961,Ciudad del Carmen,CAM
CH10,31/07/2019,360.9202,50662.17,230,1.569218261,220.2703,Contry,MTY
CH11,31/07/2019,258.8102,91256.9,409,0.632787775,223.122,El Salto,GDL
CH12,31/07/2019,420.9652,23220.79,93,4.526507527,249.6859,Forum Cancún,CUN
CH13,31/07/2019,230.8946,39101.36,155,1.489642581,252.2668,Forum Tepic,TEP
CH14,31/07/2019,343.5827,38237.07,167,2.057381437,228.9645,Forum Tlaquepaque,GDL
CH15,31/07/2019,205.3422,52849.4,250,0.8213688,211.3976,Galerías Gdl,GDL
CH16,31/07/2019,288.0692,60793.64,264,1.091171212,230.2789,Galerías Mty,MTY
CH17,31/07/2019,149.668,65943.36,309,0.48436246,213.4089,Puerto Vallarta,JAL
CH18,31/07/2019,253.0758,62432.46,282,0.897431915,221.3917,Gran Plaza,GDL
CH20,31/07/2019,215.9287,62559.51,263,0.821021673,237.8689,León I,GTO
CH21,31/07/2019,179.4664,26843.75,124,1.447309677,216.4819,León II,GTO
CH22,31/07/2019,232.3049,63928.87,279,0.83263405,229.1357,León III,GTO
CH23,31/07/2019,437.8859,87572.92,383,1.143305222,228.6499,Malecón Cancún,CUN
CH25,31/07/2019,133.1887,27071.46,123,1.082834959,220.0932,Morelia,MIC
CH26,31/07/2019,289.2467,83843.08,378,0.76520291,221.8071,Plaza Andares,GDL
CH27,31/07/2019,104.8484,44359.38,188,0.557704255,235.9541,Plaza del Sol,GDL
CH28,31/07/2019,246.6616,48671.14,242,1.01926281,201.1204,Plaza La Rioja,MTY
CH29,31/07/2019,201.8833,54045.25,238,0.84824916,227.0809,Plaza San Agustín,MTY
CH30,31/07/2019,332.1742,30934.71,125,2.6573936,247.4777,Reynosa,REY
CH31,31/07/2019,265.6604,31539.55,121,2.195540496,260.6574,Saltillo,SAL
CH32,31/07/2019,121.315,20808.55,82,1.47945122,253.7628,San Luis Potosí I,SLP
CH33,31/07/2019,141.6145,55165.43,213,0.664856808,258.9926,San Luis Potosí II,SLP
CH34,31/07/2019,135.5278,28542.24,123,1.101852033,232.0507,San Luis Potosí III,SLP
CH35,31/07/2019,192.4705,20730.56,100,1.924705,207.3056,Santa Anita,GDL
CH36,31/07/2019,433.2096,56725.35,258,1.679106977,219.8657,Sendero,MTY
CH38,31/07/2019,168.348,19783.35,90,1.870533333,219.815,Tijuana II,TIJ
CH39,31/07/2019,233.3345,37747.44,179,1.303544693,210.8796,Torreón I,TOR
CH40,31/07/2019,380.3354,66484.19,294,1.293657823,226.1367,Torres,MTY
CH41,31/07/2019,241.763,41706.01,171,1.413818713,243.8948,Tuxtla Gutiérrez,CP
CH42,31/07/2019,276.694,52947.61,223,1.240780269,237.4332,Xalapa Las Américas,VER
CH44,31/07/2019,420.1931,32137.11,137,3.06710292,234.5774,Tampico,TAM
CH45,31/07/2019,260.946,41758.46,183,1.425934426,228.1883,Torreón II,TOR
CH46,31/07/2019,383.4616,61770.15,280,1.369505714,220.6077,Anáhuac,MTY
CH47,31/07/2019,270.4165,31794.02,134,2.018033582,237.2688,Avanta,MTY
CH49,31/07/2019,346.6337,49193.07,222,1.561413063,221.5904,Mérida,YUC
CH50,31/07/2019,309.9854,43886.05,211,1.469125118,207.9908,Mérida Altabrisa,YUC
